Title,Details,Image URL,Product URL
Nike Club,Men's Coaches' Jacket,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/dc4b3b2f-8bc4-4232-b8c4-22f8d296ef7f/club-mens-coaches-jacket-kXpvvK.png",https://www.nike.comhttps://www.nike.com/t/club-mens-coaches-jacket-kXpvvK/FN3316-739
Nike Club,Men's Corduroy Chino Pants,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/7127d220-f1c2-4989-9392-04a80894438c/club-mens-corduroy-chino-pants-LPVZPJ.png",https://www.nike.comhttps://www.nike.com/t/club-mens-corduroy-chino-pants-LPVZPJ/FZ0786-010
Nike Sportswear Premium Essentials,Men's T-Shirt,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/891752c6-a92e-469c-ab57-d762c685fb77/sportswear-premium-essentials-mens-t-shirt-mkhTvc.png",https://www.nike.comhttps://www.nike.com/t/sportswear-premium-essentials-mens-t-shirt-mkhTvc/DO7392-101
Nike Club,Men's Woven Flow Shorts,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/49e61b95-54ee-4f59-951a-4e64cb7f43d6/club-mens-woven-flow-shorts-vw2WpQ.png",https://www.nike.comhttps://www.nike.com/t/club-mens-woven-flow-shorts-vw2WpQ/FN3307-652
Nike Primary,Men's Dri-FIT UV Versatile Crew,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/38f6a90a-3d31-4ee2-b028-7d5b4531d4c4/primary-mens-dri-fit-uv-versatile-crew-9cQgFg.png",https://www.nike.comhttps://www.nike.com/t/primary-mens-dri-fit-uv-versatile-crew-9cQgFg/FZ0971-473
Nike Primary,"Men's 7"" Dri-FIT UV Unlined Versatile Shorts","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/fcda0679-1261-425d-98f0-71063b551141/primary-mens-7-dri-fit-uv-unlined-versatile-shorts-Jhbv51.png",https://www.nike.comhttps://www.nike.com/t/primary-mens-7-dri-fit-uv-unlined-versatile-shorts-Jhbv51/FZ0961-451
Nike Run Energy,Men's Dri-FIT Fleece Running Crew,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/3936ec19-25a9-4cae-91bc-ff24063b99a2/run-energy-mens-dri-fit-fleece-running-crew-M6VJGL.png",https://www.nike.comhttps://www.nike.com/t/run-energy-mens-dri-fit-fleece-running-crew-M6VJGL/HF0333-121
Nike Stride,"Men's Dri-FIT 5"" Brief-Lined Running Shorts","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/b50fb8c7-ade6-4bc2-82ca-0187d17424af/stride-mens-dri-fit-5-brief-lined-running-shorts-g9m76X.png",https://www.nike.comhttps://www.nike.com/t/stride-mens-dri-fit-5-brief-lined-running-shorts-g9m76X/DM4755-464
USA Solo Swoosh,Men's Nike Pullover Hoodie,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/92161a12-6428-499e-8c20-e172ded68e6a/usa-solo-swoosh-mens-pullover-hoodie-r4M7xD.png",https://www.nike.comhttps://www.nike.com/t/usa-solo-swoosh-mens-pullover-hoodie-r4M7xD/FN4416-100
USA Premium Essential,Women's Nike T-Shirt,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d195d34d-ecd3-4c56-a684-7808e0159cb1/usa-premium-essential-womens-t-shirt-ZSQ6v8.png",https://www.nike.comhttps://www.nike.com/t/usa-premium-essential-womens-t-shirt-ZSQ6v8/FN0866-133
